# Nmap 7.70 scan initiated Fri Aug 16 16:41:42 2019 as: nmap -sP -vv -o seg.log 4.4.*.100-101
Nmap scan report for 4.4.58.100 [host down, received no-response]
Nmap scan report for 4.4.58.101 [host down, received no-response]
Nmap scan report for 4.4.59.100 [host down, received no-response]
Nmap scan report for 4.4.59.101 [host down, received no-response]
Nmap scan report for 4.4.60.100 [host down, received no-response]
Nmap scan report for 4.4.60.101 [host down, received no-response]
Nmap scan report for 4.4.61.100 [host down, received no-response]
Nmap scan report for 4.4.61.101 [host down, received no-response]
Nmap scan report for 4.4.62.100 [host down, received no-response]
Nmap scan report for 4.4.62.101 [host down, received no-response]
Nmap scan report for 4.4.63.100 [host down, received no-response]
Nmap scan report for 4.4.63.101 [host down, received no-response]
Nmap scan report for 4.4.64.100 [host down, received no-response]
Nmap scan report for 4.4.64.101 [host down, received no-response]
Nmap scan report for 4.4.65.100 [host down, received no-response]
Nmap scan report for 4.4.65.101 [host down, received no-response]
Nmap scan report for 4.4.66.100 [host down, received no-response]
Nmap scan report for 4.4.66.101 [host down, received no-response]
Nmap scan report for 4.4.67.100 [host down, received no-response]
Nmap scan report for 4.4.67.101 [host down, received no-response]
Nmap scan report for 4.4.68.100 [host down, received no-response]
Nmap scan report for 4.4.68.101 [host down, received no-response]
Nmap scan report for 4.4.69.100 [host down, received no-response]
Nmap scan report for 4.4.69.101 [host down, received no-response]
Nmap scan report for 4.4.70.100 [host down, received no-response]
Nmap scan report for 4.4.70.101 [host down, received no-response]
Nmap scan report for 4.4.71.100 [host down, received no-response]
Nmap scan report for 4.4.71.101 [host down, received no-response]
Nmap scan report for 4.4.72.100 [host down, received no-response]
Nmap scan report for 4.4.72.101 [host down, received no-response]
Nmap scan report for 4.4.73.100 [host down, received no-response]
Nmap scan report for 4.4.73.101 [host down, received no-response]
Nmap scan report for 4.4.74.100 [host down, received no-response]
Nmap scan report for 4.4.74.101 [host down, received no-response]
Nmap scan report for 4.4.75.100 [host down, received no-response]
Nmap scan report for 4.4.75.101 [host down, received no-response]
Nmap scan report for 4.4.76.100 [host down, received no-response]
Nmap scan report for 4.4.76.101 [host down, received no-response]
Nmap scan report for 4.4.77.100 [host down, received no-response]
Nmap scan report for 4.4.77.101 [host down, received no-response]
Nmap scan report for 4.4.78.100 [host down, received no-response]
Nmap scan report for 4.4.78.101 [host down, received no-response]
Nmap scan report for 4.4.79.100 [host down, received no-response]
Nmap scan report for 4.4.79.101 [host down, received no-response]
Nmap scan report for 4.4.80.100 [host down, received no-response]
Nmap scan report for 4.4.80.101 [host down, received no-response]
Nmap scan report for 4.4.81.100 [host down, received no-response]
Nmap scan report for 4.4.81.101 [host down, received no-response]
Nmap scan report for 4.4.82.100 [host down, received no-response]
Nmap scan report for 4.4.82.101 [host down, received no-response]
Nmap scan report for 4.4.83.100 [host down, received no-response]
Nmap scan report for 4.4.83.101 [host down, received no-response]
Nmap scan report for 4.4.84.100 [host down, received no-response]
Nmap scan report for 4.4.84.101 [host down, received no-response]
Nmap scan report for 4.4.85.100 [host down, received no-response]
Nmap scan report for 4.4.85.101 [host down, received no-response]
Nmap scan report for 4.4.86.100 [host down, received no-response]
Nmap scan report for 4.4.86.101 [host down, received no-response]
Nmap scan report for 4.4.87.100 [host down, received no-response]
Nmap scan report for 4.4.87.101 [host down, received no-response]
Nmap scan report for 4.4.88.100 [host down, received no-response]
Nmap scan report for 4.4.88.101 [host down, received no-response]
Nmap scan report for 4.4.89.100 [host down, received no-response]
Nmap scan report for 4.4.89.101 [host down, received no-response]
Nmap scan report for 4.4.90.100 [host down, received no-response]
Nmap scan report for 4.4.90.101 [host down, received no-response]
Nmap scan report for 4.4.91.100 [host down, received no-response]
Nmap scan report for 4.4.91.101 [host down, received no-response]
Nmap scan report for 4.4.92.100 [host down, received no-response]
Nmap scan report for 4.4.92.101 [host down, received no-response]
Nmap scan report for 4.4.93.100 [host down, received no-response]
Nmap scan report for 4.4.93.101 [host down, received no-response]
Nmap scan report for 4.4.94.100 [host down, received no-response]
Nmap scan report for 4.4.94.101 [host down, received no-response]
Nmap scan report for 4.4.95.100 [host down, received no-response]
Nmap scan report for 4.4.95.101 [host down, received no-response]
Nmap scan report for 4.4.96.100 [host down, received no-response]
Nmap scan report for 4.4.96.101 [host down, received no-response]
Nmap scan report for 4.4.97.100 [host down, received no-response]
Nmap scan report for 4.4.97.101 [host down, received no-response]
Nmap scan report for 4.4.98.100 [host down, received no-response]
Nmap scan report for 4.4.98.101 [host down, received no-response]
Nmap scan report for 4.4.99.100 [host down, received no-response]
Nmap scan report for 4.4.99.101 [host down, received no-response]
Nmap scan report for 4.4.100.100 [host down, received no-response]
Nmap scan report for 4.4.100.101 [host down, received no-response]
Nmap scan report for 4.4.101.100 [host down, received no-response]
Nmap scan report for 4.4.101.101 [host down, received no-response]
Nmap scan report for 4.4.102.100 [host down, received no-response]
Nmap scan report for 4.4.102.101 [host down, received no-response]
Nmap scan report for 4.4.103.100 [host down, received no-response]
Nmap scan report for 4.4.103.101 [host down, received no-response]
Nmap scan report for 4.4.104.100 [host down, received no-response]
Nmap scan report for 4.4.104.101 [host down, received no-response]
Nmap scan report for 4.4.105.100 [host down, received no-response]
